#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_16:1307263-1309437 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   2   5   0.00048   0.00079    9.5   0.2    80   137   111   172   100   177 0.83 -
contig_16:1307263-1309437 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   3   5     0.026     0.042    3.9   0.0   181   215   206   242   186   251 0.78 -
contig_16:1307263-1309437 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   4   5      0.01     0.017    5.2   0.1   187   215   257   286   243   303 0.65 -
contig_16:1307263-1309437 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   5   5       1.4       2.3   -1.8   0.0   188   236   300   350   286   353 0.69 -
contig_39:516114-516839   -            242 28907at4891          -            239   2.1e-10   31.1   1.5   1   4      0.96       1.6   -1.3   0.0    69    97     2    30     1    35 0.60 -
contig_39:516114-516839   -            242 28907at4891          -            239   2.1e-10   31.1   1.5   2   4   0.00042   0.00069    9.7   0.0    65    98    41    74    32    82 0.82 -
contig_39:516114-516839   -            242 28907at4891          -            239   2.1e-10   31.1   1.5   3   4     0.024     0.039    4.0   0.0   194   214   111   131    93   142 0.80 -
contig_39:516114-516839   -            242 28907at4891          -            239   2.1e-10   31.1   1.5   4   4   3.1e-05     5e-05   13.4   0.0   153   214   176   236   154   241 0.66 -
scaffold_25:607128-607955 -            276 28907at4891          -            239   5.8e-09   26.3   1.2   1   4      0.77       1.3   -1.0   0.0   174   215    23    65     4    81 0.71 -
scaffold_25:607128-607955 -            276 28907at4891          -            239   5.8e-09   26.3   1.2   2   4   6.7e-06   1.1e-05   15.6   0.0   154   212    85   145    75   148 0.87 -
scaffold_25:607128-607955 -            276 28907at4891          -            239   5.8e-09   26.3   1.2   3   4    0.0089     0.015    5.4   0.0   175   215   148   193   146   201 0.75 -
scaffold_25:607128-607955 -            276 28907at4891          -            239   5.8e-09   26.3   1.2   4   4      0.11      0.18    1.8   0.2   180   220   198   241   192   252 0.67 -
contig_7:274619-275413    -            265 28907at4891          -            239   1.7e-08   24.8   0.2   1   2     6e-06   9.9e-06   15.8   0.1    81   218    16   168     5   174 0.63 -
contig_7:274619-275413    -            265 28907at4891          -            239   1.7e-08   24.8   0.2   2   2     0.047     0.077    3.0   0.0   194   219   198   223   174   237 0.78 -
contig_7:235807-236790    -            328 28907at4891          -            239   4.7e-08   23.4   0.6   1   3      0.96       1.6   -1.3   0.0   183   213    33    64    24    89 0.70 -
contig_7:235807-236790    -            328 28907at4891          -            239   4.7e-08   23.4   0.6   2   3   3.9e-07   6.4e-07   19.7   0.7    67   213   122   277    74   298 0.75 -
contig_7:235807-236790    -            328 28907at4891          -            239   4.7e-08   23.4   0.6   3   3     0.038     0.063    3.3   0.0    66   102   249   284   235   319 0.82 -
contig_3:112767-113546    -            260 28907at4891          -            239   6.6e-07   19.6   5.3   1   3      0.11      0.18    1.8   0.0    77    97    37    57    23    68 0.61 -
contig_3:112767-113546    -            260 28907at4891          -            239   6.6e-07   19.6   5.3   2   3     7e-05   0.00011   12.3   1.3    76   134    99   161    86   164 0.77 -
contig_3:112767-113546    -            260 28907at4891          -            239   6.6e-07   19.6   5.3   3   3     0.051     0.083    2.9   0.0   114   214   201   221   184   257 0.66 -
contig_2:477162-478595    -            478 28907at4891          -            239   8.4e-07   19.3   0.3   1   3       2.7       4.4   -2.7   0.0   196   212    15    31     2    45 0.74 -
contig_2:477162-478595    -            478 28907at4891          -            239   8.4e-07   19.3   0.3   2   3   5.8e-05   9.5e-05   12.5   0.0   108   172   193   254   143   313 0.73 -
contig_2:477162-478595    -            478 28907at4891          -            239   8.4e-07   19.3   0.3   3   3     0.035     0.057    3.4   0.0   128   195   406   478   390   478 0.71 -
scaffold_25:847932-849986 -            685 28907at4891          -            239   0.00011   12.4   0.1   1   2      0.06     0.098    2.7   0.0    72    97     4    29     1    34 0.89 -
scaffold_25:847932-849986 -            685 28907at4891          -            239   0.00011   12.4   0.1   2   2    0.0024    0.0039    7.3   0.0    77   131    54   112    37   122 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/rerun_results/28907at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/rerun_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:21:56 2023
# [ok]
